ID,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
117,35.177,2117,186,3,62,16,Female,No,No,Caucasian,0
118,91.362,9113,626,1,47,17, Male,No,Yes,Asian,1341
122,148.08,8157,599,2,83,13, Male,No,Yes,Caucasian,454
123,62.602,7056,481,1,84,11,Female,No,No,Caucasian,904
128,57.202,3411,259,3,72,11,Female,No,No,Caucasian,0
129,123.299,8376,610,2,89,17, Male,Yes,No,African American,1259
135,34.664,5835,452,3,77,15,Female,No,Yes,African American,835
136,44.473,3500,257,3,81,16,Female,No,No,African American,8
137,54.663,4116,314,2,70,8,Female,No,No,African American,75
138,36.355,3613,278,4,35,9, Male,No,Yes,Asian,187
140,107.841,10384,728,3,87,7, Male,No,No,African American,1597
141,39.831,6045,459,3,32,12,Female,Yes,Yes,African American,1425
142,91.876,6754,483,2,33,10, Male,No,Yes,Caucasian,605
143,103.893,7416,549,3,84,17, Male,No,No,Asian,669
152,35.864,4831,353,3,66,13,Female,No,Yes,Caucasian,534
154,92.112,4612,344,3,32,17, Male,No,No,Caucasian,0
155,55.056,3155,235,2,31,16, Male,No,Yes,African American,0
157,31.811,4284,338,5,75,13,Female,No,Yes,Caucasian,429
158,56.256,5521,406,2,72,16,Female,Yes,Yes,Caucasian,1020
159,42.357,5550,406,2,83,12,Female,No,Yes,Asian,653
160,53.319,3000,235,3,53,13, Male,No,No,Asian,0
162,31.353,1705,160,3,81,14, Male,No,Yes,Caucasian,0
163,63.809,7530,515,1,56,12, Male,No,Yes,Caucasian,1086
165,76.782,5977,429,4,44,12, Male,No,Yes,Asian,548
167,35.691,2880,214,2,35,15, Male,No,No,African American,0
171,34.772,2021,167,3,57,9, Male,No,No,Asian,0
172,36.934,4270,299,1,63,9,Female,No,Yes,Caucasian,283
173,76.348,4697,344,4,60,18, Male,No,No,Asian,108
175,121.834,10673,750,3,54,16, Male,No,No,African American,1573
176,30.132,2168,206,3,52,17, Male,No,No,Caucasian,0
180,58.026,7499,560,5,67,11,Female,No,No,Caucasian,1237
182,46.102,5180,382,3,81,12, Male,No,Yes,African American,516
183,58.929,6420,459,2,66,9,Female,No,Yes,African American,789
185,158.889,11589,805,1,62,17,Female,No,Yes,Caucasian,1448
186,30.42,4442,316,1,30,14,Female,No,No,African American,450
187,36.472,3806,309,2,52,13, Male,No,No,African American,188
189,83.869,7667,554,2,83,11, Male,No,No,African American,930
190,58.351,4411,326,2,85,16,Female,No,Yes,Caucasian,126
191,55.187,5352,385,4,50,17,Female,No,Yes,Caucasian,538
192,124.29,9560,701,3,52,17,Female,Yes,No,Asian,1687
194,130.209,10088,730,7,39,19,Female,No,Yes,Caucasian,1426
195,30.406,2120,181,2,79,14, Male,No,Yes,African American,0
197,93.039,7398,517,1,67,12, Male,No,Yes,African American,749
198,50.699,3977,304,2,84,17,Female,No,No,African American,69
202,73.914,7333,529,6,67,15,Female,No,Yes,Caucasian,1048
204,68.206,6784,499,5,40,16,Female,Yes,No,African American,1411
205,57.337,5310,392,2,45,7,Female,No,No,Caucasian,456
209,51.345,4327,320,3,46,15, Male,No,No,African American,230
210,151.947,9156,642,2,91,11,Female,No,Yes,African American,732
213,39.145,4351,323,2,66,13, Male,No,Yes,Caucasian,308
214,39.422,5245,383,2,44,19, Male,No,No,African American,637
215,34.909,5289,410,2,62,16,Female,No,Yes,Caucasian,681
216,41.025,4229,337,3,79,19,Female,No,Yes,Caucasian,246
220,38.954,5222,370,4,76,13,Female,No,No,Caucasian,653
221,44.847,5765,437,3,53,13,Female,Yes,No,Asian,1246
222,98.515,8760,633,5,78,11,Female,No,No,African American,1230
223,33.437,6207,451,4,44,9, Male,Yes,No,Caucasian,1549
225,121.709,7818,584,4,50,6, Male,No,Yes,Caucasian,701
227,59.879,6906,527,6,78,15,Female,No,No,Caucasian,1032
228,66.989,5614,430,3,47,14,Female,No,Yes,Caucasian,482
229,69.165,4668,341,2,34,11,Female,No,No,African American,156
230,69.943,7555,547,3,76,9, Male,No,Yes,Asian,1058
231,33.214,5137,387,3,59,9, Male,No,No,African American,661
235,69.656,8244,579,3,41,14, Male,No,Yes,African American,1329
237,42.529,4986,369,2,37,11, Male,No,Yes,Asian,489
238,60.579,5149,388,5,38,15, Male,No,Yes,Asian,443
244,58.165,6617,460,1,56,12,Female,No,Yes,Caucasian,856
246,34.509,2001,189,5,80,18,Female,No,Yes,African American,0
248,36.364,2220,188,3,50,19, Male,No,No,Caucasian,0
253,72.945,8603,621,3,64,8,Female,No,No,Caucasian,1355
254,85.425,5182,402,6,60,12, Male,No,Yes,African American,218
255,36.508,6386,469,4,79,6,Female,No,Yes,Caucasian,1048
256,58.063,4221,304,3,50,8, Male,No,No,African American,118
259,41.4,2561,215,2,36,14, Male,No,Yes,Caucasian,0
260,33.657,6196,450,6,55,9,Female,No,No,Caucasian,1092
261,67.937,5184,383,4,63,12, Male,No,Yes,Asian,345
262,180.379,9310,665,3,67,8,Female,Yes,Yes,Asian,1050
266,40.885,5013,379,3,46,13,Female,No,Yes,African American,549
267,88.83,4952,360,4,86,16,Female,No,Yes,Caucasian,15
270,39.055,5565,410,4,48,18,Female,No,Yes,Caucasian,772
272,44.978,4866,347,1,30,10,Female,No,No,Caucasian,436
275,30.55,5869,439,5,81,9,Female,No,No,African American,967
276,163.329,8732,636,3,50,14, Male,No,Yes,Caucasian,529
278,41.532,5000,353,2,50,12, Male,No,Yes,Caucasian,531
279,128.04,6982,518,2,78,11,Female,No,Yes,Caucasian,250
280,54.319,3063,248,3,59,8,Female,Yes,No,Caucasian,269
281,53.401,5319,377,3,35,12,Female,No,No,African American,541
282,36.142,1852,183,3,33,13,Female,No,No,African American,0
283,63.534,8100,581,2,50,17,Female,No,Yes,Caucasian,1298
284,49.927,6396,485,3,75,17,Female,No,Yes,Caucasian,890
288,60.449,3098,272,4,69,8, Male,No,Yes,Caucasian,0
293,51.532,5096,380,2,31,15, Male,No,Yes,Caucasian,481
294,140.672,11200,817,7,46,9, Male,No,Yes,African American,1677
295,42.915,2532,205,4,42,13, Male,No,Yes,Asian,0
297,65.896,5140,370,1,49,17,Female,No,Yes,Caucasian,293
298,55.054,4381,321,3,74,17, Male,No,Yes,Asian,188
302,31.335,3526,289,3,38,7,Female,No,No,Caucasian,172
303,59.855,4964,365,1,46,13,Female,No,Yes,Caucasian,295
304,44.061,4970,352,1,79,11, Male,No,Yes,African American,414
305,82.706,7506,536,2,64,13,Female,No,Yes,Asian,905
307,45.12,3762,287,3,80,8, Male,No,Yes,Caucasian,70
308,75.406,3874,298,3,41,14,Female,No,Yes,Asian,0
310,75.257,7010,494,3,34,18,Female,No,Yes,Caucasian,885
311,33.694,4891,369,1,52,16, Male,Yes,No,African American,1036
314,92.386,7685,534,2,75,18,Female,No,Yes,Asian,843
315,115.52,9272,656,2,69,14, Male,No,No,African American,1140
317,52.179,7306,522,2,57,14, Male,No,No,Asian,1142
318,68.462,4712,340,2,71,16, Male,No,Yes,Caucasian,136
324,182.728,13913,982,4,98,17, Male,No,Yes,Caucasian,1999
325,31.029,2863,223,2,66,17, Male,Yes,Yes,Asian,415
327,125.48,10230,721,3,82,16, Male,No,Yes,Caucasian,1361
328,49.166,6662,508,3,68,14,Female,No,No,Asian,984
329,41.192,3673,297,3,54,16,Female,No,Yes,Caucasian,121
330,94.193,7576,527,2,44,16,Female,No,Yes,Caucasian,846
333,62.328,5228,377,3,83,15, Male,No,No,Caucasian,380
337,32.856,5884,438,4,68,13, Male,No,No,Caucasian,926
339,41.365,5303,377,1,45,14, Male,No,No,Caucasian,606
340,149.316,10278,707,1,80,16, Male,No,No,African American,1107
345,48.218,5199,401,7,39,10, Male,No,Yes,Asian,633
346,30.012,1511,137,2,33,17, Male,No,Yes,Caucasian,0
348,160.231,10748,754,2,69,17, Male,No,No,Caucasian,1192
350,48.577,5145,389,3,71,13,Female,No,Yes,Asian,503
351,30.002,1561,155,4,70,13,Female,No,Yes,Caucasian,0
352,61.62,5140,374,1,71,9, Male,No,Yes,Caucasian,302
353,104.483,7140,507,2,41,14, Male,No,Yes,African American,583
354,41.868,4716,342,2,47,18, Male,No,No,Caucasian,425
356,180.682,11966,832,2,58,8,Female,No,Yes,African American,1405
357,34.48,6090,442,3,36,14, Male,No,No,Caucasian,962
358,39.609,2539,188,1,40,14, Male,No,Yes,Asian,0
359,30.111,4336,339,1,81,18, Male,No,Yes,Caucasian,347
361,53.566,5891,434,4,82,10,Female,No,No,Caucasian,712
362,53.217,4943,362,2,46,16,Female,No,Yes,Asian,382
364,64.173,6127,433,1,80,10, Male,No,Yes,Caucasian,578
365,128.669,9824,685,3,67,16, Male,No,Yes,Asian,1243
366,113.772,6442,489,4,69,15, Male,Yes,Yes,Caucasian,790
367,61.069,7871,564,3,56,14, Male,No,Yes,Caucasian,1264
369,89,5759,440,3,37,6,Female,No,No,Caucasian,345
370,71.682,8028,599,3,57,16, Male,No,Yes,Caucasian,1208
371,35.61,6135,466,4,40,12, Male,No,No,Caucasian,992
372,39.116,2150,173,4,75,15, Male,No,No,Caucasian,0
374,55.412,5354,383,2,37,16,Female,Yes,Yes,Caucasian,1003
377,87.625,7167,515,2,46,10,Female,No,No,African American,767
380,53.308,2860,214,1,84,10, Male,No,Yes,Caucasian,0
381,115.123,7760,538,3,83,14,Female,No,No,African American,661
382,101.788,8029,574,2,84,11, Male,No,Yes,Caucasian,849
389,37.878,6827,482,2,80,13,Female,No,No,Caucasian,1129
390,83.948,7100,503,2,44,18, Male,No,No,Caucasian,806
391,135.118,10578,747,3,81,15,Female,No,Yes,Asian,1393
392,73.327,6555,472,2,43,15,Female,No,No,Caucasian,721
395,49.794,5758,410,4,40,8, Male,No,No,Caucasian,734
398,57.872,4171,321,5,67,12,Female,No,Yes,Caucasian,138
399,37.728,2525,192,1,44,13, Male,No,Yes,Caucasian,0
